stamp,source,build,klass,actual,tc,conf,peak,fft90,op,bc,bcPk,peakR,aimR,pkOverAim,rOuterAim_widest,gOuterAim,gNoise,snrWidest,disagreePxWidest,polarMs,method
2026-04-30_05-31-33-683Z,training,b112,XL,52,11,0.402,11,11,15,11,5,286,338,0.847,0,0.00,0.00,-,0,63,"fft-agreement"
2026-04-30_05-32-57-251Z,training,b112,XL,42,41,0.000,0,41,42,10,0,0,338,0.000,274,4.51,5.85,0.771,274,67,"fft90-fallback"
2026-04-30_05-34-26-023Z,training,b112,XL,42,10,0.058,0,10,12,10,4,0,338,0.000,0,0.00,0.00,-,0,84,"fft90-fallback"
2026-04-30_05-36-04-910Z,training,b112,XL,42,26,0.000,14,10,40,41,26,286,338,0.847,363,2.24,5.36,0.418,77,65,"retry-bc-peaks"
2026-04-30_05-37-41-094Z,training,b112,XL,42,10,0.124,11,10,10,11,4,286,338,0.847,0,0.00,0.00,-,0,74,"low-conf-consensus"
2026-04-30_05-39-33-414Z,training,b112,Small,11,11,0.632,0,11,11,11,8,0,338,0.000,0,0.00,0.00,-,0,63,"fft90-fallback"
2026-04-30_05-41-00-183Z,training,b112,Small,12,12,1.000,0,12,12,12,12,0,338,0.000,0,0.00,0.00,-,0,62,"bc-consensus"
2026-04-30_05-42-47-207Z,training,b112,Mid,14,14,0.924,0,14,14,14,15,0,338,0.000,0,0.00,0.00,-,0,87,"bc-consensus"
2026-04-30_05-44-33-498Z,training,b112,Large,21,21,1.000,0,21,21,21,21,0,338,0.000,0,0.00,0.00,-,0,71,"bc-consensus"
2026-04-30_05-46-01-952Z,training,b112,Large,24,24,0.000,0,24,26,11,10,0,338,0.000,0,0.00,0.00,-,0,64,"fft90-fallback"
2026-04-30_05-47-27-290Z,training,b112,Large,28,28,0.640,0,28,28,28,28,0,338,0.000,0,0.00,0.00,-,0,73,"bc-consensus"
2026-04-30_10-09-16-909Z,training,b114,XL,34,11,0.508,11,11,12,13,6,331,338,0.981,0,0.00,0.00,-,0,70,"fft-agreement"
2026-04-30_10-14-55-670Z,training,b114,XL,34,11,0.000,14,11,24,10,5,295,338,0.874,0,0.00,0.00,-,0,64,"fft90-fallback"
2026-04-30_10-17-13-321Z,training,b114,XL,34,34,0.794,10,11,12,34,34,295,338,0.874,0,0.00,0.00,-,0,64,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_10-19-29-950Z,training,b114,XL,36,36,1.000,10,10,22,36,36,295,338,0.874,0,0.00,0.00,-,0,71,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_10-23-20-845Z,training,b114,XL,36,36,1.000,10,20,10,36,35,313,338,0.927,339,8.12,28.01,0.290,26,80,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_11-31-00-084Z,training,b114,XL,42,0,0.000,10,10,15,18,11,304,338,0.901,0,0.00,0.00,-,0,63,"fft-agreement+pap474-abstain"
2026-04-30_11-35-41-631Z,training,b114,XL,42,0,0.000,10,10,10,11,13,313,338,0.927,0,0.00,0.00,-,0,72,"bc-consensus+pap632-fft-floor-abstain"
2026-04-30_11-41-12-489Z,training,b114,XL,32,32,0.934,12,14,16,32,32,322,338,0.954,0,0.00,0.00,-,0,62,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_11-42-53-294Z,training,b114,XL,32,32,1.000,11,11,16,32,32,304,338,0.901,0,0.00,0.00,-,0,72,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_12-31-00-766Z,training,b114,XL,50,50,0.350,11,10,13,50,50,331,338,0.981,0,0.00,0.00,-,0,68,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_12-33-17-234Z,training,b114,XL,48,48,1.000,10,10,14,48,48,304,338,0.901,0,0.00,0.00,-,0,83,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_12-35-25-332Z,training,b114,XL,48,48,0.572,10,10,10,48,47,313,338,0.927,364,9.35,10.24,0.913,51,71,"bc-consensus+pap1059-chainring-tc-confirmed"
2026-04-30_20-03-52-567Z,training,b116,XL,52,10,0.146,15,10,13,10,1,286,338,0.847,0,0.00,0.00,-,0,69,"fft90-fallback"
