cell_idx,R_lo,R_hi,sigma_R,eps_abs,eps_floor,extremeR,gamma_bc,option_beta,ac2_N,ac2_LOSS,ac2_eliminated,ac2_first_loss_stamp,ac1_N,ac1_recovered,ac1_wilson_ub_pct,b6_rescue,b6_regress_correct_to_CW,b6_regress_abstain_to_CW,b6_regress_CW_worse_delta,b6_no_change_correct,b6_no_change_CW_same_or_better,alpha_commits,beta_fires,elapsed_ms
3705,0.4,1.1,0.3,0.02,0.06,1,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3706,0.4,1.1,0.3,0.02,0.06,1,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3707,0.4,1.1,0.3,0.02,0.06,1,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3708,0.4,1.1,0.3,0.02,0.06,1,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3709,0.4,1.1,0.3,0.02,0.06,1,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3710,0.4,1.1,0.3,0.02,0.06,1,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3711,0.4,1.1,0.3,0.02,0.06,1,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3712,0.4,1.1,0.3,0.02,0.08,0,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3713,0.4,1.1,0.3,0.02,0.08,0,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3714,0.4,1.1,0.3,0.02,0.08,0,1.3,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,3
3715,0.4,1.1,0.3,0.02,0.08,0,1.3,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3716,0.4,1.1,0.3,0.02,0.08,0,1.6,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3717,0.4,1.1,0.3,0.02,0.08,0,1.6,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3718,0.4,1.1,0.3,0.02,0.08,0,2,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
3719,0.4,1.1,0.3,0.02,0.08,0,2,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3720,0.4,1.1,0.3,0.02,0.08,1,1,0,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,1
3721,0.4,1.1,0.3,0.02,0.08,1,1,1,362,1,1,2026-04-04_16-15-39-652Z,0,0,0,0,0,0,0,4,1,0,0,2
